variant,prompt,response
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. AdaptiFit Footwear
3. Versafit Sneakers
4. SizeFlex Shoes
5. CustomFit Footgear
6. AllFit Athletic Shoes
7. FlexiFit Sneakers
8. Universal Sole Shoes
9. PerfectFit Footwear
10. SupraSize Sneakers"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. VersaFit Footwear
3. FlexiSole Shoes
4. InfiniteFit Sneakers
5. UniversalStride Footwear"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFitSole Shoes
2. AdaptFlex Footwear
3. FitAll Comfort Shoes
4. VersaSize Sneakers
5. FlexiFit Footgear"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Solemates
2. AdaptaFit Footwear Solution
3. UniversalStride Shoes
4. All-Fit Footwear
5. FlexiFit Footgear
6. InfiniteSize Shoes
7. FitAll Footwear
8. SizeFlex Shoes
9. VersaFit Sneakers
10. PerfectFit Pairs"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. AdaptaFit Shoes
2. OmniFootwear
3. InfiniteFit Shoes
4. SizeFlex Footwear
5. FlexiFit Shoes"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiFit Shoes, OmniSize Sneakers, AllFit Footwear, FitEase Shoes."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiFit Shoes, FitFlex Sneakers, OmniFit Footwear, InfiniteFit Shoes"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit, OmniStep, PerfectFit, SizeReady."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaShoe, OmniFit Footwear, PerfectFit Shoes, FitFlex Shoes"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiFit, OmniShoe, FitFlex, SizeSavvy."
